p_id,classid,p_name,p_sakusha,p_gensaku,p_irasuto,p_genan,p_price,p_open,p_content,p_date
1,101001,排球少年 (1),古館春一,,,,70,1,,
2,101001,排球少年 (2),古館春一,,,,70,1,,
3,101001,排球少年 (3),古館春一,,,,70,1,,
4,101001,排球少年 (4),古館春一,,,,70,1,,
5,101001,排球少年 (5),古館春一,,,,70,1,,
6,101001,排球少年 (6),古館春一,,,,70,1,,
7,101001,排球少年 (7),古館春一,,,,70,1,,
8,101001,排球少年 (8),古館春一,,,,70,1,,
9,101001,排球少年 (9),古館春一,,,,70,1,,
10,101001,排球少年 (10),古館春一,,,,70,1,,
11,101001,排球少年 (11),古館春一,,,,70,1,,
12,101001,排球少年 (12),古館春一,,,,70,1,,
13,101001,排球少年 (13),古館春一,,,,70,1,,
14,101001,排球少年 (14),古館春一,,,,70,1,,
15,101001,排球少年 (15),古館春一,,,,70,1,,
16,101001,排球少年 (16),古館春一,,,,70,1,,
17,101001,排球少年 (17),古館春一,,,,70,1,,
18,101001,排球少年 (18),古館春一,,,,70,1,,
19,101001,排球少年 (19),古館春一,,,,70,1,,
20,101001,排球少年 (20),古館春一,,,,70,1,,
21,101001,排球少年 (21),古館春一,,,,70,1,,
22,101001,排球少年 (22),古館春一,,,,70,1,,
23,101001,排球少年 (23),古館春一,,,,70,1,,
24,101001,排球少年 (24),古館春一,,,,70,1,,
25,101001,排球少年 (25),古館春一,,,,70,1,,
26,101001,排球少年 (26),古館春一,,,,70,1,,
27,101001,排球少年 (27),古館春一,,,,70,1,,
28,101001,排球少年 (28),古館春一,,,,70,1,,
29,101001,排球少年 (29),古館春一,,,,70,1,,
30,101001,排球少年 (30),古館春一,,,,70,1,,
31,101001,排球少年 (31),古館春一,,,,70,1,,
32,101001,排球少年 (32),古館春一,,,,70,1,,
33,101001,排球少年 (33),古館春一,,,,70,1,,
34,101001,排球少年 (34),古館春一,,,,70,1,,
35,101001,排球少年 (35),古館春一,,,,70,1,,
36,101001,排球少年 (36),古館春一,,,,70,1,,
37,101001,排球少年 (37),古館春一,,,,70,1,,
38,101001,排球少年 (38),古館春一,,,,70,1,,
39,101001,排球少年 (39),古館春一,,,,70,1,,
40,101001,排球少年 (40),古館春一,,,,70,1,,
41,101001,排球少年 (41),古館春一,,,,70,1,,
42,101001,排球少年 (42),古館春一,,,,70,1,,
43,101001,排球少年 (43),古館春一,,,,70,1,,
44,101001,排球少年 (44),古館春一,,,,70,1,,
45,101001,排球少年 (45) END,古館春一,,,,70,1,,
46,101002,葬送的芙莉蓮 (1),阿部司,山田鐘人,,,80,1,,
47,101002,葬送的芙莉蓮 (2),阿部司,山田鐘人,,,80,1,,
48,101002,葬送的芙莉蓮 (3),阿部司,山田鐘人,,,80,1,,
49,101002,葬送的芙莉蓮 (4),阿部司,山田鐘人,,,80,1,,
50,101002,葬送的芙莉蓮 (5),阿部司,山田鐘人,,,80,1,,
51,101002,葬送的芙莉蓮 (6),阿部司,山田鐘人,,,80,1,,
52,101002,葬送的芙莉蓮 (7),阿部司,山田鐘人,,,80,1,,
53,101002,葬送的芙莉蓮 (8),阿部司,山田鐘人,,,80,1,,
54,101002,葬送的芙莉蓮 (9),阿部司,山田鐘人,,,80,1,,
55,101002,葬送的芙莉蓮 (10),阿部司,山田鐘人,,,80,1,,
56,101002,葬送的芙莉蓮 (11),阿部司,山田鐘人,,,80,1,,
57,101003,怪獸8號(1),松本直也,,,,80,1,,
58,101003,怪獸8號(2),松本直也,,,,80,1,,
59,101003,怪獸8號(3),松本直也,,,,80,1,,
60,101003,怪獸8號(4),松本直也,,,,80,1,,
61,101003,怪獸8號(5),松本直也,,,,80,1,,
62,101003,怪獸8號(6),松本直也,,,,80,1,,
63,101003,怪獸8號(7),松本直也,,,,80,1,,
64,101003,怪獸8號(8),松本直也,,,,80,1,,
65,101003,怪獸8號(9),松本直也,,,,80,1,,
66,101003,怪獸8號(10),松本直也,,,,80,1,,
67,101003,怪獸8號(11),松本直也,,,,80,1,,
68,102001,3月的獅子(01),羽海野千花,,,,98,1,,
69,102001,3月的獅子(02),羽海野千花,,,,98,1,,
70,102001,3月的獅子(03),羽海野千花,,,,98,1,,
71,102001,3月的獅子(04),羽海野千花,,,,98,1,,
72,102001,3月的獅子(05),羽海野千花,,,,98,1,,
73,102001,3月的獅子(06),羽海野千花,,,,98,1,,
74,102001,3月的獅子(07),羽海野千花,,,,98,1,,
75,102001,3月的獅子(08),羽海野千花,,,,98,1,,
76,102001,3月的獅子(09),羽海野千花,,,,98,1,,
77,102001,3月的獅子(10),羽海野千花,,,,98,1,,
78,102001,3月的獅子(11),羽海野千花,,,,98,1,,
79,102001,3月的獅子(12),羽海野千花,,,,98,1,,
80,102001,3月的獅子(13),羽海野千花,,,,98,1,,
81,102001,3月的獅子(14),羽海野千花,,,,98,1,,
82,102001,3月的獅子(15),羽海野千花,,,,98,1,,
83,102001,3月的獅子(16),羽海野千花,,,,98,1,,
84,102001,3月的獅子(17),羽海野千花,,,,98,1,,
85,201001,魔王學院的不適任者 (1),秋,,しずま よしのり,,170,,,
86,201001,魔王學院的不適任者 (2),秋,,しずま よしのり,,170,,,
87,201001,魔王學院的不適任者 (3),秋,,しずま よしのり,,170,,,
88,201001,魔王學院的不適任者 (4)〈上〉,秋,,しずま よしのり,,170,,,
89,201001,魔王學院的不適任者 (4)〈下〉,秋,,しずま よしのり,,170,,,
90,201001,魔王學院的不適任者 (5),秋,,しずま よしのり,,170,,,
91,201001,魔王學院的不適任者 (6),秋,,しずま よしのり,,170,,,
92,201001,魔王學院的不適任者 (7),秋,,しずま よしのり,,170,,,
93,201001,魔王學院的不適任者 (8),秋,,しずま よしのり,,170,,,
94,201001,魔王學院的不適任者 (9),秋,,しずま よしのり,,170,,,
95,201001,魔王學院的不適任者 (10)〈上〉,秋,,しずま よしのり,,170,,,
96,201001,魔王學院的不適任者 (10)〈下〉,秋,,しずま よしのり,,170,,,
97,201001,魔王學院的不適任者 (11),秋,,しずま よしのり,,170,,,
98,201001,魔王學院的不適任者 (12)〈上〉,秋,,しずま よしのり,,170,,,
99,201001,魔王學院的不適任者 (12)〈下〉,秋,,しずま よしのり,,170,,,
100,201001,魔王學院的不適任者 (13)〈上〉,秋,,しずま よしのり,,170,,,
101,101004,迷宮飯(01),九井諒子,,,,98,,,
102,101004,迷宮飯(02),九井諒子,,,,98,,,
103,101004,迷宮飯(03),九井諒子,,,,98,,,
104,101004,迷宮飯(04),九井諒子,,,,98,,,
105,101004,迷宮飯(05),九井諒子,,,,98,,,
106,101004,迷宮飯(06),九井諒子,,,,98,,,
107,101004,迷宮飯(07),九井諒子,,,,98,,,
108,101004,迷宮飯(08),九井諒子,,,,98,,,
109,101004,迷宮飯(09),九井諒子,,,,98,,,
110,101004,迷宮飯(10),九井諒子,,,,98,,,
111,101004,迷宮飯(11),九井諒子,,,,98,,,
112,101004,迷宮飯(12),九井諒子,,,,98,,,
113,101004,迷宮飯(13),九井諒子,,,,98,,,
114,101004,迷宮飯(14) END,九井諒子,,,,98,,,
115,201002,魔女之旅(01),白石定規,,あずーる,,132,,,
116,201002,魔女之旅(02),白石定規,,あずーる,,132,,,
117,201002,魔女之旅(03),白石定規,,あずーる,,132,,,
118,201002,魔女之旅(04),白石定規,,あずーる,,132,,,
119,201002,魔女之旅(05),白石定規,,あずーる,,132,,,
120,201002,魔女之旅(06),白石定規,,あずーる,,132,,,
121,201002,魔女之旅(07),白石定規,,あずーる,,132,,,
122,201002,魔女之旅(08),白石定規,,あずーる,,132,,,
123,201002,魔女之旅(09),白石定規,,あずーる,,132,,,
124,201002,魔女之旅(10),白石定規,,あずーる,,132,,,
125,201002,魔女之旅(11),白石定規,,あずーる,,132,,,
126,201002,魔女之旅(12),白石定規,,あずーる,,132,,,
127,201002,魔女之旅(13),白石定規,,あずーる,,132,,,
128,201002,魔女之旅(14),白石定規,,あずーる,,132,,,
129,201002,魔女之旅(15),白石定規,,あずーる,,132,,,
130,201002,魔女之旅(16),白石定規,,あずーる,,132,,,
131,201002,魔女之旅(17),白石定規,,あずーる,,132,,,
132,201002,魔女之旅(18),白石定規,,あずーる,,132,,,
133,201002,魔女之旅(19),白石定規,,あずーる,,132,,,
134,201002,魔女之旅(20),白石定規,,あずーる,,132,,,
135,201002,魔女之旅(21),白石定規,,あずーる,,132,,,
136,101005,【我推的孩子】(01),赤坂アカ、 横槍メンゴ,,,,83,,,
137,101005,【我推的孩子】(02),赤坂アカ、 横槍メンゴ,,,,83,,,
138,101005,【我推的孩子】(03),赤坂アカ、 横槍メンゴ,,,,83,,,
139,101005,【我推的孩子】(04),赤坂アカ、 横槍メンゴ,,,,83,,,
140,101005,【我推的孩子】(05),赤坂アカ、 横槍メンゴ,,,,83,,,
141,101005,【我推的孩子】(06),赤坂アカ、 横槍メンゴ,,,,83,,,
142,101005,【我推的孩子】(07),赤坂アカ、 横槍メンゴ,,,,83,,,
143,101005,【我推的孩子】(08),赤坂アカ、 横槍メンゴ,,,,83,,,
144,101005,【我推的孩子】(09),赤坂アカ、 横槍メンゴ,,,,83,,,
145,101005,【我推的孩子】(10),赤坂アカ、 横槍メンゴ,,,,83,,,
146,101005,【我推的孩子】(11),赤坂アカ、 横槍メンゴ,,,,83,,,
147,101005,【我推的孩子】(12),赤坂アカ、 横槍メンゴ,,,,83,,,
148,101005,【我推的孩子】(13),赤坂アカ、 横槍メンゴ,,,,83,,,